,phrase,label,sentiment,subjectivity,language,count,geonames,geotype,latitude,longitude,country,ipcc
Jammu & Kashmir,Jammu & Kashmir,ORG,0.0,0.0,en,1,,,,,,
EMY,EMY,ORG,-0.11666666666666665,0.0,en,1,,,,,,
Science New Research,Science New Research,ORG,-0.18181818181818182,0.0,en,1,,,,,,
Serengeti National Park,Serengeti National Park,ORG,-0.1,0.0,en,1,,,,,,
deci,deci,ORG,0.03125,0.0,en,1,,,,,,
KXAS-TV,KXAS-TV,ORG,0.0,0.0,en,1,,,,,,
warningsLos Angeles Times California Forecast,warningsLos Angeles Times California Forecast,ORG,0.0932900432900433,0.0,en,1,,,,,,
Los Angeles Times,Los Angeles Times,ORG,0.0,0.0,en,1,,,,,,
Pacific Palisades,Pacific Palisades,ORG,0.0,0.0,en,1,,,,,,
"Associated Press
","Associated Press
",ORG,0.3,0.0,en,1,,,,,,
newsweek.com,newsweek.com,ORG,0.0,0.0,en,1,,,,,,
Great Southern,Great Southern,ORG,0.26666666666666666,0.0,en,1,,,,,,
Daniels,Daniels,ORG,0.0,0.0,en,1,,,,,,
The Coachella Valley,The Coachella Valley,ORG,-0.05,0.0,en,1,,,,,,
WAKAYAMA PREF,WAKAYAMA PREF,ORG,0.0,0.0,en,1,,,,,,
MINABE,MINABE,ORG,0.0,0.0,en,1,,,,,,
Muğla,Muğla,ORG,0.09999999999999999,0.0,en,1,,,,,,
J&K,J&K,ORG,-0.2,0.0,en,1,,,,,,
Boeing,Boeing,ORG,0.2,0.0,en,1,,,,,,
Rapid,Rapid,ORG,0.13333333333333336,0.0,en,1,,,,,,
New Jersey Democratic congress,New Jersey Democratic congress,ORG,0.13636363636363635,0.0,en,1,,,,,,
Honda Del Sol VTEC,Honda Del Sol VTEC,ORG,-0.08376623376623377,0.0,en,1,,,,,,
HerGateway,HerGateway,ORG,0.0,0.0,en,1,,,,,,
the Indian Meteorological Department,the Indian Meteorological Department,ORG,-0.06666666666666667,0.0,en,1,,,,,,
LionLocation,LionLocation,ORG,-0.1,0.0,en,1,,,,,,
Union Parish Sheriff,Union Parish Sheriff,ORG,-0.2,0.0,en,1,,,,,,
The Bureau of Meteor…,The Bureau of Meteor…,ORG,0.0,0.0,en,1,,,,,,
"The Wild Man Within, Nature","The Wild Man Within, Nature",ORG,0.011111111111111118,0.0,en,1,,,,,,
the National Weather Service (NWS,the National Weather Service (NWS,ORG,0.0,0.0,en,1,,,,,,
Associated Press,Associated Press,ORG,-0.11875,0.0,en,1,,,,,,
MetService,MetService,ORG,0.06666666666666665,0.0,en,1,,,,,,
United States)Animal,United States)Animal,ORG,-0.1,0.0,en,1,,,,,,
Texas A&M,Texas A&M,ORG,-0.4,0.0,en,1,,,,,,
Wagon at No Reserve,Wagon at No Reserve,ORG,0.0,0.0,en,1,,,,,,
Wash,Wash,ORG,1.0,0.0,en,1,,,,,,
Tesla,Tesla,ORG,0.0,0.0,en,1,,,,,,
Tota,Tota,ORG,0.0,0.0,en,1,,,,,,
The Indian Meteorological Department,The Indian Meteorological Department,ORG,0.13333333333333333,0.0,en,1,,,,,,
India Meteorological Department,India Meteorological Department,ORG,0.0,0.0,en,1,,,,,,
Darling Downs,Darling Downs,ORG,0.125,0.0,en,1,,,,,,
