,summary,Mitigation,Impact,Causes,Hazard,word
hit,10.03431113485933,0.041229074279568324,-0.12238885992241157,-0.04500879430502814,0.10464552766046353,hit
rain hit,4.022749357674939,-0.05491342614698794,0.00544166473170223,0.02006238578370465,0.025584514669734583,rain hit
coast,15.03618159818337,0.018640601413611832,-0.040101641078571656,0.016924729457186934,0.0037279666428745016,coast
hit coast,4.078829083666154,-0.05572086485674626,0.0054929034004726355,0.020190874148594856,0.026113331449801117,hit coast
more,13.408242633277018,0.08131905769095096,0.04183642536533168,-0.02267395165003798,-0.10381330552256694,more
coast more,4.189843780581849,-0.05725346602243723,0.005589195293324577,0.020432353289406492,0.027117829326750564,coast more
T-storms,4.281526399493629,-0.058457443417737495,0.00566392450556162,0.020619784058384483,0.027907713053457215,T-storms
more t-storms,4.281526399493629,-0.058457443417737495,0.00566392450556162,0.020619784058384483,0.027907713053457215,more t-storms
Southern,12.15363367404936,-0.03424570357785651,-0.024013052687294763,0.003952918161356427,0.04893030338943533,Southern
t-storms southern,4.562233294761315,-0.06183495139678875,0.005869005571024435,0.021134398802479876,0.030127917447979248,t-storms southern
California,9.51950208457729,-0.039932551496515444,-0.04850383777060358,-0.0313023809077921,0.10419247216823369,California
southern california,9.220975689616365,-0.04911331982920475,-0.01664214751375873,0.0005593093490526403,0.05806850208523477,southern california
forecast,15.096395665499879,-0.07307839619978528,-0.05119902951981016,0.0397825518178982,0.07255874255284611,forecast
california forecast,5.445437374491574,-0.07015488163325322,0.006341630060463382,0.022323785904507176,0.03563526110445806,california forecast
pop-up,10.771942042881752,-0.09179782148677806,0.0072625654716434885,0.024711028963660932,0.05046552464769011,pop-up
forecast pop-up,6.716642949999239,-0.07829167984916162,0.006749019294365906,0.02335893015426684,0.04110156902146982,forecast pop-up
thunderstorm,121.5050298325139,-0.08907344147737761,0.006641818866217567,0.019765368919566772,0.05327317508646176,thunderstorm
pop-up thunderstorm,15.75522761555577,-0.09953307768592601,0.007438426125347882,0.02522634409857497,0.056061515475657256,pop-up thunderstorm
brought,9.224732052146141,-0.08794749795017996,0.007140587094363795,0.024379604950052973,0.04774925586615637,brought
thunderstorm brought,9.224732052146141,-0.08794749795017996,0.007140587094363795,0.024379604950052973,0.04774925586615637,thunderstorm brought
brought heavy,6.871261183279015,-0.0818218154152783,0.0039413423195431545,0.020600736234378757,0.04905540828636981,brought heavy
showers,15.214574838798315,-0.10944514582099178,-0.0024832033580627516,0.011540370799986748,0.08462883443317322,showers
heavy showers,7.724032648100654,-0.10863782057937481,-0.019670570332666375,-0.002799233676852516,0.11068645980140926,heavy showers
showers and,10.773807043641513,-0.14057972031006463,-0.04273925742325595,-0.02535250073294224,0.16982379083614535,showers and
lightning,34.474952798826166,-0.32557486374680056,-0.21270282338758204,-0.1435432599235468,0.4473929103689317,lightning
and lightning,16.218266498664466,-0.23453776068848833,-0.12959224609877484,-0.11188086707207881,0.3421778621847201,and lightning
lightning the,6.767820687331275,-0.10174327161971145,-0.01730949485256512,-0.0007416169197573711,0.10179835119100636,lightning the
california coast,5.9807541393661605,-0.10962331006138734,-0.030638003708466054,-0.014465348581129463,0.1298816251189228,california coast
overnight,5.650326143263541,-0.09060451841587425,-0.013336371173083037,0.0027054772415316826,0.08693434660294634,overnight
coast overnight,5.650326143263541,-0.09060451841587425,-0.013336371173083037,0.0027054772415316826,0.08693434660294634,coast overnight
did,5.643894473243869,-0.07962804047591662,-0.0019061827771922788,0.014170502623364554,0.05825483569488653,did
have,12.668224166226205,0.031278622607280995,0.0014629730893514535,0.014308080031769931,-0.045408817506473104,have
did have,5.666816908465215,-0.07846437727901802,-0.0005039313960035155,0.015590994798657191,0.05479330157029953,did have
little,5.734447420180869,-0.07810115447106412,0.0004130771600104816,0.01655013105867346,0.05281930450903727,little
have little,5.734447420180869,-0.07810115447106412,0.0004130771600104816,0.01655013105867346,0.05281930450903727,have little
concentration,5.831968444198126,-0.0780616640650432,0.0012058576300974463,0.017399736673373942,0.05131505939343725,concentration
little concentration,5.831968444198126,-0.0780616640650432,0.0012058576300974463,0.017399736673373942,0.05131505939343725,little concentration
moisture,6.2688976429123855,-0.07944400489577846,0.0028341116895082594,0.01924937907723153,0.04932250789874631,moisture
concentration moisture,6.2688976429123855,-0.07944400489577846,0.0028341116895082594,0.01924937907723153,0.04932250789874631,concentration moisture
that,28.096224463111184,0.021616755849840127,0.016323911163448196,-0.024906843086776854,-0.013208124828819393,that
moisture that,6.7340090462930755,-0.08137653733450927,0.003645081478581132,0.020253677312565672,0.04927090630201532,moisture that
...,14.59672896148305,0.022568404862116646,-0.038467766017394364,0.03228080789844019,-0.01621501086851999,...
that ...,5.873851205324917,-0.0732853473170832,0.006505551677475583,0.022738581962172783,0.03772682978170788,that ...
... pop-up,6.716642949999239,-0.07829167984916162,0.006749019294365906,0.02335893015426684,0.04110156902146982,... pop-up
moved,5.056980322749707,-0.03876650393380464,0.046791973638440613,-0.029211189027876158,0.016798144192830215,moved
that moved,3.438271980793923,-0.05102994858306485,-0.0018838085447338078,0.011686850634074054,0.036619835638492,that moved
through,14.36055569983155,-0.03992741430174873,0.007441846537994679,-0.02564448617493782,0.05159245535671485,through
moved through,4.980341439588571,-0.04341822014367122,0.0375491133368521,-0.025459698658160213,0.026471622470502214,moved through
yesterday,3.3767059392602805,-0.048981899797162526,-0.0011399894391858562,0.012303825225572,0.03362856998462008,yesterday
through yesterday,3.3767059392602805,-0.048981899797162526,-0.0011399894391858562,0.012303825225572,0.03362856998462008,through yesterday
KTLA,3.3336861125222983,-0.04756717909148147,-0.0006705731930725224,0.01268073898916606,0.03163988431010549,KTLA
yesterday ktla,3.3336861125222983,-0.04756717909148147,-0.0006705731930725224,0.01268073898916606,0.03163988431010549,yesterday ktla
Meteorologist,3.315462876001939,-0.046971050874163686,-0.0004835782199995981,0.01282755284377576,0.030820925748085693,Meteorologist
ktla meteorologist,3.315462876001939,-0.046971050874163686,-0.0004835782199995981,0.01282755284377576,0.030820925748085693,ktla meteorologist
+1354,3.2588217915858086,-0.04512693293756829,5.4736442668994545e-05,0.013237043550232457,0.028358623142824127,+1354
meteorologist +1354,3.2588217915858086,-0.04512693293756829,5.4736442668994545e-05,0.013237043550232457,0.028358623142824127,meteorologist +1354
+1354 chars,3.240559611120168,-0.04453437985540289,0.00021496840076733938,0.013354432047257636,0.027590108081212907,+1354 chars
Heavy,12.941766774779365,-0.10241118529700022,0.053600773918321784,0.033500528340479646,0.007216237414600308,Heavy
storm,31.793563370900387,0.023426009568856102,0.013121949617589317,-0.01718315554134469,-0.018971225410439725,storm
heavy storm,4.1167422977214025,-0.03750035263325432,-0.00012580696509120417,0.01459209210949396,0.020618445843475528,heavy storm
system,20.431634038861713,0.015670553262624856,0.005649401911612479,0.02545595358931083,-0.04499264549695138,system
storm system,16.92792054756326,0.08350604307462628,0.052094891156922035,-0.0518176033478111,-0.08876354886818977,storm system
hits,4.355831338939371,-0.033254837896611385,-0.0021688748253869483,0.012834462203992045,0.02037899887087393,hits
system hit+s,4.355831338939371,-0.033254837896611385,-0.0021688748253869483,0.012834462203992045,0.02037899887087393,system hit+s
Arizona,20.66322220499766,0.04856580771829246,-0.037156053133969615,0.008293970160977882,-0.019912249121858336,Arizona
hit+s arizona,4.473735828969931,-0.03025456620964582,-0.0034301134204488604,0.011698702556054229,0.01992991757187956,hit+s arizona
Valley,18.398194321099528,-0.09696885195202382,0.020454003712886693,0.04171610694837952,0.026855132076381745,Valley
arizona valley,8.337956716966321,-0.04078771780551623,-0.002782011190110552,-0.00934115253391257,0.04739754131889907,arizona valley
valley with,4.9919107330859855,-0.007575523041805973,-0.011837443438384354,0.0037440941893273814,0.014569483468703648,valley with
flash,20.52759291201508,0.0890551882117366,0.0640282387486448,-0.086445808910001,-0.0753252951380601,flash
with flash,5.271023086903831,0.013822259866431836,-0.019345701025408953,-0.0035773219245995745,0.008381744884971022,with flash
flood,13.793728872964051,0.17930954626022885,-0.031054191800917057,-0.10754375850785199,-0.061695714344844894,flood
flash flood,13.793728872964051,0.17930954626022885,-0.031054191800917057,-0.10754375850785199,-0.061695714344844894,flash flood
flood and,9.75079459010289,-0.050449507125898664,-0.00428123692122934,0.013022562294218172,0.037090331818805555,flood and
and severe,10.771942042881752,-0.09179782148677806,0.0072625654716434885,0.024711028963660932,0.05046552464769011,and severe
severe thunderstorm,61.7753369661086,-0.06286020393307819,0.007207072659067419,0.013637932058959022,0.0366083396186307,severe thunderstorm
warnings,14.2965469851812,0.3170807939834446,-0.12338924296800659,-0.20742000552785095,-0.06703510867243674,warnings
thunderstorm warnings,9.729001142786796,0.0708736714509428,-0.03965012208465664,-0.028843484838192067,-0.005473833922088613,thunderstorm warnings
powerful,13.863629555208954,-0.013673895237420807,0.2750305041865418,-0.14192815578463788,-0.1786191842383052,powerful
warnings powerful,5.485343407251753,-0.0804279149438246,0.1579302257360795,-0.05362003320987013,-0.041902808720615164,warnings powerful
powerful storm,15.409171772744639,-0.013089836839870585,0.08003273040755983,-0.024096629099553086,-0.045489995258747244,powerful storm
swept,11.533058863185026,-0.079659232778292,0.022308475040250585,-0.002229102646298347,0.05089177552906739,swept
system swept,4.45009020371803,-0.05373153862074631,0.0399383662885668,0.0012883934868578783,0.00909946707527304,system swept
swept through,9.616784635838389,-0.08251264325658021,0.014703662606287428,-0.011919520649650057,0.06850148064788639,swept through
through arizona,4.473735828969931,-0.03025456620964582,-0.0034301134204488604,0.011698702556054229,0.01992991757187956,through arizona
September,7.18748416712816,-0.0891172759478807,0.003477769600496615,-0.01530978481863746,0.08650533644878221,September
valley september,5.322795687315042,-0.0811875367726,0.0015440730215465078,-0.03432205399789566,0.09766237952970029,valley september
2025,14.958190314977882,-0.0070575107020279405,-0.08567028717486272,-0.020563443959136344,0.09800410369102942,2025
september 2025,5.283759177253716,-0.0973893013765927,-0.02818102163456399,-0.05403718578241729,0.14980585545707964,september 2025
bringing,13.393059060867254,0.01698226986358825,-0.053082670582897507,0.03817913320837982,-0.003254810972270488,bringing
2025 bringing,5.358507327393848,-0.11064242038475541,-0.04417588285350176,-0.06098499589919392,0.17680972574722978,2025 bringing
bringing heavy,7.921732433026445,-0.13412317020819295,-0.0632252279577779,0.04923920128124853,0.12060259715022256,bringing heavy
rain lightning,6.371992781163126,-0.24993393055292357,-0.19273783176865159,-0.19842486167371598,0.4309951550733567,rain lightning
lightning and,14.867673525164214,-0.13035892164411722,-0.013636037984444902,0.109743491100092,0.019092440188109776,lightning and
significant,13.594113726320074,0.09393357165794067,0.0478618906058226,-0.018814455088695833,-0.12886978457725012,significant
and significant,4.524069408566924,-0.059810120564643084,-0.030251455460213784,-0.015199140478566544,0.09194075835452671,and significant
cool-down,4.763623041118614,-0.024580711733361817,-0.011118993988884919,0.004265123942692251,0.028718804811218867,cool-down
significant cool-down,4.763623041118614,-0.024580711733361817,-0.011118993988884919,0.004265123942692251,0.028718804811218867,significant cool-down
Flash,8.532800057608867,0.06562877398932347,-0.062111781660284596,-0.030490172189619278,0.021196109029908563,Flash
were,10.490460616823675,-0.015362034541169052,0.12509143138835366,-0.06962242714518527,-0.05049725756667299,were
warnings were,5.280070295272032,-0.013856440627888432,-0.010466900154538364,0.005341825350581924,0.01755135267295971,warnings were
issued,19.547444938519973,-0.024737232607175134,-0.030294042590756885,0.05251946825424121,0.000974887244678958,issued
were issued,5.006943112018645,-0.025683371400277225,-0.0061800943516574745,0.00943699816007379,0.020474954904185487,were issued
for,54.68073148640976,0.009167405615275365,-0.03525758352317419,0.02732244694034556,-0.0015655738280112876,for
issued for,4.724725213081552,-0.034072505642087365,-0.0029198754689173417,0.012464242462659886,0.02213406197165384,issued for
multiple,6.235989618460073,-0.05261633827187964,-0.00018221778796817767,0.01620949729559227,0.032318316661310235,multiple
for multipel+e,4.597110153490693,-0.036829279114525,-0.0017466117471486339,0.013518781484306632,0.02251230012980596,for multipel+e
cities,4.367595592002711,-0.04041079946307094,-1.652375249492729e-05,0.015011108703940828,0.0226876263521461,cities
multipel+e city+es,4.367595592002711,-0.04041079946307094,-1.652375249492729e-05,0.015011108703940828,0.0226876263521461,multipel+e city+es
including,8.54222622648177,-0.017651258813710307,0.02605476687320236,-0.017042194694074086,0.007043017942242806,including
city+es including,4.231780882953357,-0.03734597434412653,0.007528761315666372,0.010472885681903877,0.017158361719247988,city+es including
Glendale,4.145874608736665,-0.012531256241523313,0.019777442463815905,-0.006684660004576922,-0.0010646516486302526,Glendale
including glendale,4.145874608736665,-0.012531256241523313,0.019777442463815905,-0.006684660004576922,-0.0010646516486302526,including glendale
glendale and,6.1605441146963305,-0.04192271400936447,-0.003305092596276686,0.01304229856626626,0.028832889001877807,glendale and
Peoria,4.113487841909726,0.03495098650037953,0.03759829484827985,-0.038967392456850804,-0.03452036298477316,Peoria
and peoria,4.113487841909726,0.03495098650037953,0.03759829484827985,-0.038967392456850804,-0.03452036298477316,and peoria
until,11.682270247398167,-0.10533550598534226,-0.014713526505660187,0.11268709101411299,-0.0035322648338754637,until
peoria until,4.176197609496098,0.09188745190457473,0.0476905031643363,-0.07512166250686282,-0.07130554643494848,peoria until
early…,4.382477172162446,0.20085655498789035,0.03877284023412613,-0.13765620208754892,-0.13427648789459784,early…
until early…,4.382477172162446,0.20085655498789035,0.03877284023412613,-0.13765620208754892,-0.13427648789459784,until early…
early… powerful,4.320077200231785,0.0028404132355841203,0.23612003455072483,-0.1428544646374604,-0.14007901128300676,early… powerful
system moved,3.7756009171554448,-0.006457271329318114,0.06842708875546559,-0.048278839172544406,-0.017317232002207014,system moved
through part+s,3.66347992747786,-0.021591046455102462,0.04124462238634159,-0.03942098912048822,0.015885154040883784,through part+s
part+s the,9.013810069322941,0.02900923147150837,-0.04277673878151425,-0.0011595611212825915,0.01306669471776688,part+s the
the arizona,3.596200665208129,-0.03423050654275777,0.02301116333698702,-0.03841071781659395,0.04340520620343373,the arizona
major,8.58368842939599,0.0821775318333437,0.12741494437208556,-0.12080739828113636,-0.1083873632145597,major
and major,3.4637932665508324,-0.10100732440460942,-0.05579382939011805,-0.07568392584744318,0.18936531026296968,and major
cool,3.8055524966370746,-0.20056718941957313,0.17490727385465238,-0.17430829621970748,0.12875855936460542,cool
major cool,3.4062544731819235,-0.08971929850755322,-0.04501719925221409,-0.0634604053076877,0.16437648154199205,major cool
down,3.36819438054337,-0.08285495587177778,-0.038559318257654164,-0.05588556337104501,0.1486927024769359,down
cool dow+n,3.36819438054337,-0.08285495587177778,-0.038559318257654164,-0.05588556337104501,0.1486927024769359,cool dow+n
weather,26.02619953192747,0.0031383084091949486,-0.1002200241299772,-0.013763310281292287,0.09512279076744069,weather
dow+n weather,3.3078126260768324,-0.07306131940182099,-0.029531418140691552,-0.04483485623894883,0.12564476580575146,dow+n weather
shift,3.268981817775068,-0.06749907945291692,-0.024542091569810593,-0.03840282525391954,0.11219795199246557,shift
weather shift,3.268981817775068,-0.06749907945291692,-0.024542091569810593,-0.03840282525391954,0.11219795199246557,weather shift
took,3.243534483244711,-0.06416224864021398,-0.02161462821554799,-0.03448189979958036,0.10401033673300941,took
shift took,3.243534483244711,-0.06416224864021398,-0.02161462821554799,-0.03448189979958036,0.10401033673300941,shift took
hold,3.224174372374336,-0.06178161631109203,-0.019563052262006952,-0.031654389940511306,0.09811679002351499,hold
took hold,3.224174372374336,-0.06178161631109203,-0.019563052262006952,-0.031654389940511306,0.09811679002351499,took hold
The,37.84678678894251,-0.0005609633504778888,-0.045608176630284505,-0.02289720066018797,0.06167407900512312,The
the storm,11.018461683554207,-0.001218668831053604,-0.008449631859521587,-0.007128424244716882,0.015547105447211261,the storm
has,20.033242442945543,0.00910413235636553,-0.07957397640858418,0.020345922905434972,0.0436698872834677,has
storm has,3.170558702055226,-0.055856366427126464,-0.014625627614879962,-0.024508110850140662,0.08328530914818122,storm has
prompted,6.335344157168887,-0.08333613867206095,-0.0010376476265233526,0.00619937746680408,0.06749288920665092,prompted
has prompted,3.158702831771397,-0.054669358053026494,-0.013671674494219669,-0.023059131204808285,0.08029212531456298,has prompted
mul…,3.133785264101979,-0.05230725722117642,-0.011815912154289815,-0.020161673356028722,0.07432301230930126,mul…
prompted mul…,3.133785264101979,-0.05230725722117642,-0.011815912154289815,-0.020161673356028722,0.07432301230930126,prompted mul…
+2116,3.118347524395891,-0.050928730271320416,-0.010762043415736123,-0.018463935565181482,0.07083572826188976,+2116
mul… +2116,3.118347524395891,-0.050928730271320416,-0.010762043415736123,-0.018463935565181482,0.07083572826188976,mul… +2116
+2116 char+s,3.1037222855617825,-0.04967875342769711,-0.00982717117333848,-0.016921836829897594,0.06767459960020744,+2116 char+s
Weather,19.876667208263832,-0.02693760582409745,-0.05429508041621476,0.01998142531242605,0.05447880225868481,Weather
weather heavy,5.939564695958177,-0.1160918421230886,-0.0377058502170159,0.034260969932468265,0.09975306079549857,weather heavy
rain and,9.914383395578255,-0.14428065583287825,-0.04875299445301768,0.0007466516109326147,0.1566700954988024,rain and
and thunderstorm,9.67966314646766,-0.11539128843134144,-0.019727455557825818,0.03001401932525238,0.08790612454021107,and thunderstorm
thunderstorm risk,6.181908103827528,-0.12440182440570326,-0.04461092541114459,0.030461471685146877,0.11481904381838141,thunderstorm risk
risk for,9.460605595231371,-0.0892883768572608,-0.041107616837179985,0.07054578329936395,0.04874941844139526,risk for
New,9.746634976705574,-0.0322990003765863,-0.0184741101949334,0.008906383122110891,0.03791851765783556,New
for new,5.536007175967454,-0.13209436284502943,-0.05780100357792512,0.028277524435763802,0.13269699864379172,for new
Zealand,5.352043822411858,-0.13620256942058223,-0.0638365118585521,0.026578922341373157,0.14170627205501243,Zealand
new zealand,5.352043822411858,-0.13620256942058223,-0.0638365118585521,0.026578922341373157,0.14170627205501243,new zealand
throughout,5.105754573591473,-0.14958707039490146,-0.08047872356334211,0.030289691487979394,0.1605409963678895,throughout
zealand throughout,5.105754573591473,-0.14958707039490146,-0.08047872356334211,0.030289691487979394,0.1605409963678895,zealand throughout
throughout the,5.502722193503103,-0.1155093230400241,-0.04069407031062909,0.035388253043595885,0.10079051541832844,throughout the
week,4.997383480022377,-0.20869755810231466,-0.14430726290154106,0.0603950439772624,0.21907641705138556,week
the week,4.997383480022377,-0.20869755810231466,-0.14430726290154106,0.0603950439772624,0.21907641705138556,the week
large,24.639475306449665,0.045001216538742284,-0.1573555810629981,-0.012733717563533751,0.1009987670631775,large
week large,5.2610436076200635,-0.2887552007875087,-0.2261560542077656,0.05446252097087508,0.31718825154677643,week large
low-pressure,7.2916694397673485,-0.27870396755428795,-0.19844508427005378,0.2709760417381759,0.10285072174553415,low-pressure
large low-pressure,5.0971208277982765,-0.27858674367409003,-0.21737297541687112,0.21052324183332125,0.17738358919764735,large low-pressure
low-pressure system,6.421842881850478,-0.20326905535399425,-0.12529616766276885,0.17063021692556846,0.10464874986303273,low-pressure system
set,5.864351585272273,-0.22053465521162363,-0.13634325875737355,0.05280534356524334,0.22693645438863239,set
system set,4.3758158714818585,-0.19044232635101918,-0.11753546142294871,0.13042470509505513,0.12869323556754358,system set
approach,4.2968949293835985,-0.18784520626682244,-0.103322270318534,0.13270326193948062,0.11413800126122298,approach
set approach,4.2968949293835985,-0.18784520626682244,-0.103322270318534,0.13270326193948062,0.11413800126122298,set approach
from,33.36954105303295,0.09256303080197412,-0.004536070013961582,0.019446738648804605,-0.11029552803274216,from
approach from,4.22898855885397,-0.19000960860941069,-0.08867757858175732,0.14242365550993233,0.09501224405186266,approach from
